Project Name,Datasource Name,Database Name,Table Schema,Table Name,Database Connection Type,USER_NAME,AUTHENTICATION_METHOD
Datasources,PRICING_ANALYSIS (ANALYTICS.PRICING_ANALYSIS) (BUSINESSOPERATIONS) (local copy),ANALYTICS,BUSINESSOPERATIONS,PRICING_ANALYSIS,snowflake,SCRIPTAETL,PASSWORD
Datasources,Campaign Marketing Active Members DataSource,TRANSFORMED_LAYER,VISUALIZATION,CAMPAIGN_MARKETING_ACTIVE_MEMBERS,snowflake,SCRIPTAETL,PASSWORD
Datasources,Campaign Marketing Datasource,TRANSFORMED_LAYER,VISUALIZATION,CAMPAIGN_MARKETING,snowflake,SCRIPTAETL,PASSWORD
Datasources,Campaign Marketing Datasource,TRANSFORMED_LAYER,VISUALIZATION,CAMPAIGN_MARKETING,snowflake,SCRIPTAETL,PASSWORD
Datasources,Drug Opportunities,TRANSFORMED_LAYER,VISUALIZATION,CLINICAL_OPPORTUNITIES_BY_DRUG_NAME,snowflake,SCRIPTAETL,PASSWORD
Datasources,Drug Opportunities,TRANSFORMED_LAYER,VISUALIZATION,CLINICAL_OPPORTUNITIES_BY_DRUG_NAME,snowflake,SCRIPTAETL,PASSWORD
Datasources,Expected-Values-Of-Drug-A-To-Drug-B-Switches,TRANSFORMED_LAYER,VISUALIZATION,CLINICAL_OPPORTUNITIES_BY_DRUG_NAME,snowflake,SCRIPTAETL,PASSWORD
Datasources,Expected-Values-Of-Drug-A-To-Drug-B-Switches,TRANSFORMED_LAYER,VISUALIZATION,CLINICAL_ROUGH_ADOPTION_RATIOS_BY_CUSTOMER_AND_GLOBAL,snowflake,SCRIPTAETL,PASSWORD
Datasources,Expected-Values-Of-Drug-A-To-Drug-B-Switches,TRANSFORMED_LAYER,VISUALIZATION,CLINICAL_OPPORTUNITIES_BY_DRUG_NAME,snowflake,SCRIPTAETL,PASSWORD
Datasources,Expected-Values-Of-Drug-A-To-Drug-B-Switches,TRANSFORMED_LAYER,VISUALIZATION,CLINICAL_ROUGH_ADOPTION_RATIOS_BY_CUSTOMER_AND_GLOBAL,snowflake,SCRIPTAETL,PASSWORD
QBR Datasources,QBR_CUSTOMER_ROI_PERIOD_DATA,TRANSFORMED_LAYER,VISUALIZATION,VW_CUSTOMER_DATE_AVAILABILITY_WITH_ROI_PERIODS,snowflake,SCRIPTAETL,PASSWORD
