Datasource Name,Datasource ID,Table Schema,Table Name,Database Name,Database Connection Type
QBR - Customer Lives Datasource - Test,0029e833-44d5-28bb-425d-eded35389c3d,VISUALIZATION,VW_CUSTOMER_DATE_AVAILABILITY,TRANSFORMED_LAYER_TEST,snowflake
QBR - Customer Lives Datasource - Test,0029e833-44d5-28bb-425d-eded35389c3d,VISUALIZATION,VW_CUSTOMER_TOTAL_LIVES,TRANSFORMED_LAYER_TEST,snowflake
MEMBER_SAVINGS_DRILL_DOWN_REPORT_REDACTED (TRANSFORMED_LAYER.MEMBER_SAVINGS_DRILL_DOWN_REPORT_REDACTED) (DRILL_DOWN_REPORTS),00457fc6-b0f2-2616-9119-13177c4d7689,DRILL_DOWN_REPORTS,MEMBER_SAVINGS_DRILL_DOWN_REPORT_REDACTED,TRANSFORMED_LAYER,snowflake
QBR - Pharmacy Spend Data,005dc0fc-927f-f24b-90e4-b3ed87145d9d,VISUALIZATION,VW_CUSTOMER_DATE_AVAILABILITY_WITH_ROI_PERIODS,TRANSFORMED_LAYER,snowflake
QBR - Pharmacy Spend Data,005dc0fc-927f-f24b-90e4-b3ed87145d9d,VISUALIZATION,VW_PHARMACY_SPEND_AND_SAVE,TRANSFORMED_LAYER,snowflake
VW_MEMBER_ENGAGEMENT_ACTIVITY (TRANSFORMED_LAYER.VW_MEMBER_ENGAGEMENT_ACTIVITY)+ (PUBLIC),006e8b7e-f078-74d5-b8a0-55eae371cfc3,VISUALIZATION,VW_REALIZED_SAVINGS_WITH_EMPLOYEE_DATA,TRANSFORMED_LAYER,snowflake
VW_MEMBER_ENGAGEMENT_ACTIVITY (TRANSFORMED_LAYER.VW_MEMBER_ENGAGEMENT_ACTIVITY)+ (PUBLIC),006e8b7e-f078-74d5-b8a0-55eae371cfc3,ENGAGEMENT,VW_MEMBER_ENGAGEMENT_ACTIVITY,TRANSFORMED_LAYER,snowflake
VW_MEMBER_ENGAGEMENT_ACTIVITY (TRANSFORMED_LAYER.VW_MEMBER_ENGAGEMENT_ACTIVITY)+ (PUBLIC),006e8b7e-f078-74d5-b8a0-55eae371cfc3,VISUALIZATION,SAVERX_TOTALLIVES,TRANSFORMED_LAYER,snowflake
Amazon QBR - Pharmacy Spend Dataset,0236291d-65ff-5715-96a6-4553dc6644bf,AMAZON,VW_PHARMACY_SPEND_AND_SAVE,TRANSFORMED_LAYER,snowflake
QBR - Primary Data Source - Data Availability - KPA,03987b0c-2acc-85a0-fe69-8dd5cdf38152,VISUALIZATION,VW_CUSTOMER_DATE_AVAILABILITY_WITH_ROI_PERIODS,TRANSFORMED_LAYER,snowflake
QBR_CUSTOMER_ROI_PERIOD_DATA | Project : QBR Datasources,03bd3c46-4b3e-6062-f511-556d5d650a33,VISUALIZATION,VW_CUSTOMER_DATE_AVAILABILITY_WITH_ROI_PERIODS,TRANSFORMED_LAYER,snowflake
QBR_CUSTOMER_ROI_PERIOD_DATA | Project : QBR Datasources,03bd3c46-4b3e-6062-f511-556d5d650a33,VISUALIZATION,VW_CUSTOMER_ROI_PERIOD_DATA_WITH_LABELS,TRANSFORMED_LAYER,snowflake
QBR - Utilization Ratios Datasource - Test,05612c22-d220-ab21-fc4c-f2c29e5adbf7,VISUALIZATION,VW_CUSTOMER_UTILIZER_RATIOS,TRANSFORMED_LAYER_TEST,snowflake
QBR - Utilization Ratios Datasource - Test,05612c22-d220-ab21-fc4c-f2c29e5adbf7,VISUALIZATION,VW_CUSTOMER_DATE_AVAILABILITY,TRANSFORMED_LAYER_TEST,snowflake
QBR - Member Utilization Breakdown,05806f23-9b81-253d-d55e-46585e1feb6b,VISUALIZATION,VW_CUSTOMER_DATE_AVAILABILITY,TRANSFORMED_LAYER,snowflake
QBR - Member Utilization Breakdown,05806f23-9b81-253d-d55e-46585e1feb6b,VISUALIZATION,VW_UTILIZATION_BREAKDOWN_QBR,TRANSFORMED_LAYER,snowflake
QBR - Amazon - Primary Data Source - Data Availability Test - Parameters For Custom Fields,06df9a8e-bfc8-422d-75d4-71c8b4c26738,AMAZON,VW_CUSTOMER_DATE_AVAILABILITY_WITH_ROI_PERIODS,TRANSFORMED_LAYER_TEST,snowflake
CUSTOMER_ROI_PERIOD_DATA - Test,09b4b5e0-cb07-e937-8caf-c2a902e9d157,VISUALIZATION,VW_CUSTOMER_ROI_PERIOD_DATA_WITH_LABELS,TRANSFORMED_LAYER_TEST,snowflake
CUSTOMER_ROI_PERIOD_DATA - Test,09b4b5e0-cb07-e937-8caf-c2a902e9d157,VISUALIZATION,VW_CUSTOMER_DATE_AVAILABILITY_WITH_ROI_PERIODS,TRANSFORMED_LAYER_TEST,snowflake
QBR - Login and Registration Data,0a30c686-d904-27f7-1d5a-36bebc39c82b,VISUALIZATION,VW_CUSTOMER_DATE_AVAILABILITY,TRANSFORMED_LAYER,snowflake
QBR - Login and Registration Data,0a30c686-d904-27f7-1d5a-36bebc39c82b,VISUALIZATION,VW_MONTHLY_LOGIN_AND_REGISTRATION_DATA,TRANSFORMED_LAYER,snowflake
SAVINGS_BY_MMA_WIDE (TRANSFORMED_LAYER.SAVINGS_BY_MMA_WIDE) (VISUALIZATION),0adc3f42-4a35-39b1-aeb5-134b47f81188,VISUALIZATION,SAVINGS_BY_MMA_WIDE,TRANSFORMED_LAYER,snowflake
QBR - Member Savings Dataset - Test,0cc16a96-99c7-ecc9-5a07-381959c6c242,VISUALIZATION,VW_REALIZED_SAVINGS_WITH_EMPLOYEE_DATA,TRANSFORMED_LAYER_TEST,snowflake
QBR - Member Savings Dataset - Test,0cc16a96-99c7-ecc9-5a07-381959c6c242,VISUALIZATION,VW_CUSTOMER_DATE_AVAILABILITY_WITH_ROI_PERIODS,TRANSFORMED_LAYER_TEST,snowflake
QBR - PMPM Spend Data Set,0cf3d646-55ad-4870-a76f-7bbc6f66d7a7,VISUALIZATION,VW_CUSTOMER_DATE_AVAILABILITY_WITH_ROI_PERIODS,TRANSFORMED_LAYER,snowflake
QBR - PMPM Spend Data Set,0cf3d646-55ad-4870-a76f-7bbc6f66d7a7,VISUALIZATION,VW_PMPM_SPEND,TRANSFORMED_LAYER,snowflake
VW_MASTER_DRUG_WITH_LOOKUPS (RAW_LAYER_TEST.VW_MASTER_DRUG_WITH_LOOKUPS)+ (MASTER),0d19f341-b17e-9f89-9aa9-b4d1bbc85ba9,VISUALIZATION,VW_REALIZED_SAVINGS_WITH_EMPLOYEE_DATA,TRANSFORMED_LAYER,snowflake
VW_MASTER_DRUG_WITH_LOOKUPS (RAW_LAYER_TEST.VW_MASTER_DRUG_WITH_LOOKUPS)+ (MASTER),0d19f341-b17e-9f89-9aa9-b4d1bbc85ba9,VISUALIZATION,VW_MMA_LOOKUP,TRANSFORMED_LAYER,snowflake
VW_MASTER_DRUG_WITH_LOOKUPS (RAW_LAYER_TEST.VW_MASTER_DRUG_WITH_LOOKUPS)+ (MASTER),0d19f341-b17e-9f89-9aa9-b4d1bbc85ba9,VISUALIZATION,VW_MEMBER_OPPORTUNITIES_WITH_BEST_SAVER_IDENTIFIED,TRANSFORMED_LAYER,snowflake
QBR - PMPM Spend Data Set,0d75ca88-c17f-3823-ab78-269e9aaa6de4,VISUALIZATION,VW_CUSTOMER_DATE_AVAILABILITY_WITH_ROI_PERIODS,TRANSFORMED_LAYER,snowflake
QBR - PMPM Spend Data Set,0d75ca88-c17f-3823-ab78-269e9aaa6de4,VISUALIZATION,VW_PMPM_SPEND,TRANSFORMED_LAYER,snowflake
QBR - Monthly Customer Communications,0d925db1-4ca2-23fb-ce55-2350dacbe486,VISUALIZATION,VW_CUSTOMER_DATE_AVAILABILITY,TRANSFORMED_LAYER,snowflake
QBR - Monthly Customer Communications,0d925db1-4ca2-23fb-ce55-2350dacbe486,VISUALIZATION,VW_MONTHLY_CUSTOMER_COMMUNICATIONS,TRANSFORMED_LAYER,snowflake
Amazon QBR - Member Utilization Breakdown Dataset,0e635323-2894-c572-137c-4c3650beb693,AMAZON,VW_CUSTOMER_DATE_AVAILABILITY_WITH_ROI_PERIODS,TRANSFORMED_LAYER,snowflake
Amazon QBR - Member Utilization Breakdown Dataset,0e635323-2894-c572-137c-4c3650beb693,AMAZON,VW_MEMBER_UTILIZATION_BREAKDOWN_WITH_CUSTOM_FIELDS,TRANSFORMED_LAYER,snowflake
SAVINGS_BY_MMA_WIDE (TRANSFORMED_LAYER.SAVINGS_BY_MMA_WIDE) (VISUALIZATION),0f906563-520d-35e4-dda1-dbcfbfa7fc9a,VISUALIZATION,SAVINGS_BY_MMA_WIDE,TRANSFORMED_LAYER,snowflake
QBR - Pharmacy Spend Data - Test,10d94134-25a9-eb4b-dec4-cdec8527e65a,VISUALIZATION,VW_CUSTOMER_DATE_AVAILABILITY_WITH_ROI_PERIODS,TRANSFORMED_LAYER_TEST,snowflake
QBR - Pharmacy Spend Data - Test,10d94134-25a9-eb4b-dec4-cdec8527e65a,VISUALIZATION,VW_PHARMACY_SPEND_AND_SAVE,TRANSFORMED_LAYER_TEST,snowflake
QBR - Customer Lives Datasource,10e3f7e9-e0aa-16fd-17f0-136632ba389a,VISUALIZATION,VW_CUSTOMER_DATE_AVAILABILITY,TRANSFORMED_LAYER,snowflake
QBR - Customer Lives Datasource,10e3f7e9-e0aa-16fd-17f0-136632ba389a,VISUALIZATION,VW_CUSTOMER_TOTAL_LIVES,TRANSFORMED_LAYER,snowflake
QBR - Amazon - Member Savings Dataset - Test,1293956d-7dbf-0edf-6830-bacf7afda1e7,AMAZON,VW_CUSTOMER_DATE_AVAILABILITY_WITH_ROI_PERIODS,TRANSFORMED_LAYER_TEST,snowflake
QBR - Amazon - Member Savings Dataset - Test,1293956d-7dbf-0edf-6830-bacf7afda1e7,AMAZON,VW_REALIZED_SAVINGS_WITH_EMPLOYEE_DATA_AND_CUSTOM_FILTERS,TRANSFORMED_LAYER_TEST,snowflake
